model,family,block,MAPE,MAE,RMSE,R2,pretty
naive_yest,naive,test,16.750462111084836,11.073232323232324,14.124893849605606,-0.3989237057659309,Naïve (y_{t-1})
naive_seasonal,naive,test,17.52690018779173,11.287878787878787,14.205917105490965,-0.4150187561860359,Naïve seasonal (y_{t-7})
dow_mean,naive,test,17.761130480644624,12.638685983713756,15.03732818717753,-0.5854954523544735,DoW mean
xgboost,ml,val,12.018031469323445,7.085612151933753,9.391768656964606,0.1024126900432738,XGBoost
hybrid_sarimax_lstm,hybrid_residual,val,12.098474229692249,7.047914482963338,9.006290488654098,0.1745821954086611,SARIMAX + LSTM
dow_mean,naive,val,12.273827773948964,7.289221763085399,9.39896723840707,0.1010362013687752,DoW mean
sarimax,classical,val,12.52471351269471,7.175508610368938,9.122631126844166,0.1531194465204206,SARIMAX
hybrid_sarimax_xgb,hybrid_residual,val,12.637265482143304,7.428919637649778,9.494678230622457,0.0826344350382602,SARIMAX + XGBoost
nbglm,parametric_glm,val,12.646961884196587,7.764335267039516,9.79283944585712,0.0241137477065664,NB GLM
arima,classical,val,13.325752833138846,7.797082393278916,10.196863436842015,-0.0580717945101545,ARIMA
ann,dl,val,13.337651132332804,7.554583632427713,9.612944955311884,0.0596384949210155,ANN (MLP)
hybrid_stl_ann,hybrid_stl,val,13.419407702931588,7.956695904042095,9.951395407246652,-0.0077432478462398,STL + ANN
hybrid_stl_lstm,hybrid_stl,val,13.746468774312554,8.298596884201388,10.323545095724064,-0.0845252052898561,STL + LSTM
hybrid_stl_xgb,hybrid_stl,val,13.94789619337002,8.431211341354436,10.653433800570845,-0.1549446049905904,STL + XGBoost
naive_seasonal,naive,val,16.382945126262747,9.679347826086955,12.225463448137218,-0.5209417954335533,Naïve seasonal (y_{t-7})
naive_yest,naive,val,16.96460696871895,10.08695652173913,13.4463507252372,-0.8398855187259899,Naïve (y_{t-1})
